K,C
1.2229e-13,5.71765e+29
1.2276e-13,5.66309e+29
1.23231e-13,5.60906e+29
1.23705e-13,5.55554e+29
1.2418e-13,5.50253e+29
1.24657e-13,5.45003e+29
1.25136e-13,5.39803e+29
1.25617e-13,5.34652e+29
1.261e-13,5.29551e+29
1.26584e-13,5.24498e+29
1.27071e-13,5.19493e+29
1.27559e-13,5.14537e+29
1.28049e-13,5.09627e+29
1.28541e-13,5.04765e+29
1.29035e-13,4.99948e+29
1.29531e-13,4.95178e+29
1.30028e-13,4.90453e+29
1.30528e-13,4.85774e+29
1.3103e-13,4.81138e+29
1.31533e-13,4.76548e+29
1.32038e-13,4.72001e+29
1.32546e-13,4.67497e+29
1.33055e-13,4.63036e+29
1.33566e-13,4.58618e+29
1.34079e-13,4.54242e+29
1.34595e-13,4.49908e+29
1.35112e-13,4.45615e+29
1.35631e-13,4.41363e+29
1.36152e-13,4.37152e+29
1.36675e-13,4.32981e+29
1.372e-13,4.2885e+29
1.37728e-13,4.24758e+29
1.38257e-13,4.20705e+29
1.38788e-13,4.16691e+29
1.39321e-13,4.12715e+29
1.39857e-13,4.08777e+29
1.40394e-13,4.04877e+29
1.40933e-13,4.01013e+29
1.41475e-13,3.97187e+29
1.42018e-13,3.93397e+29
1.42564e-13,3.89644e+29
1.43112e-13,3.85926e+29
1.43662e-13,3.82244e+29
1.44214e-13,3.78596e+29
1.44768e-13,3.74984e+29
1.45324e-13,3.71406e+29
1.45883e-13,3.67862e+29
1.46443e-13,3.64352e+29
1.47006e-13,3.60876e+29
1.47571e-13,3.57432e+29
1.48138e-13,3.54022e+29
1.48707e-13,3.50644e+29
1.49278e-13,3.47298e+29
1.49852e-13,3.43985e+29
1.50427e-13,3.40702e+29
1.51005e-13,3.37452e+29
1.51586e-13,3.34232e+29
1.52168e-13,3.31043e+29
1.52753e-13,3.27884e+29
1.5334e-13,3.24755e+29
1.53929e-13,3.21657e+29
1.5452e-13,3.18588e+29
1.55114e-13,3.15548e+29
